"key","name","description","responsibilities","values","meetings","membership","reporting","other","chair","email"
"Book","Book Award Committee","In 2005, the APLS Book Award Committee was formed. The committee considers, on a biennial basis, edited or authored books published during the preceding two years that have been nominated to receive the APLS Book Award. Nominations may be made by anyone, and self-nominations are encouraged. The award is given to the author(s) or editor(s) of a book that makes an outstanding contribution to the field of law and psychology (broadly defined). The winner of the award receives an award plaque and is invited to deliver an address at the APLS conference. Committee members (five PhDs) review the nominations received and the books nominated, and determine the winner(s) of the award.","The Book Award committee is responsible for soliciting nominations for and determining the winner of the AP-LS Book Award, which recognizes outstanding scholarship in psychology and law. Winner(s) of the biennial award give an award address at the AP-LS conference.","The Book Award Committee supports the following aspects of the AP-LS Vision: The major catalyst for stimulation, growth, and dissemination of psychology-law science and practice; the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interests in psychology-law science and practice; the premier innovator in the education, development, and training of psychology-law scientists, practitioners and educators; the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principal leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts. The work of the Book Award Committee also supports the AP-LS Core Value of continual pursuit of excellence.",,,,,"Catherine Burke",""
"BRIDGE","Broadening Representation, Inclusion, Diversity, and Global Equity for AP-LS (BRIDGE)","The BRIDGE Committee is committed to facilitating activities and developing opportunities within the psychology and law division that embrace, respect, and value diversity. We are dedicated to the recruitment and retention of culturally and linguistically diverse students into psychology and law related doctoral programs, and faculty into psychology and law related academic and professional positions. The committee comprises 17 members (academicians, researchers, clinicians, practitioners, graduate and doctoral students) representing a diversity of backgrounds and expertise in the field. For more information regarding the BRIDGE Committee, please contact the co-chairs listed above.",,"The BRIDGE Committee engages in activities that facilitate its mission of 1) increasing the representation and participation of under-represented groups in the field of psychology and law and 2) promoting research related to diversity in psychology and law. Responsibilities of BRIDGE members include awarding and administering student grant programs and outreach to students and professionals from under-represented groups, (Such programs include or included the Diversity in Psychology and Law Research Award, the Diversity Travel Award, the Access Path to Psychology and Law Experience program, the Ambassadors program, and dedicated conference activities) as well as developing new strategies to promote diversity within the field of psychology and law.",,,,,"Christopher Bishop & Jason Lawrence",""
"CAC","Conference Advisory Committee","The Conference Advisory Committee was formed in March of 2005 to evaluate Div. 41's annual conference and recommend improvements when needed. Committee membership consists of (but is not limited to) past and present conference co-chairs. Committee members are responsible for administering an annual conference evaluation survey, meeting to discuss and process conference attendee feedback, and brainstorming innovative improvements to upcoming conferences. Members interested in joining, please contact the committee chairperson.","The Conference Advisory Committee is responsible for advising and assisting the Conference Committee Co-Chairs on organizing the Societys conferences. The Conference Advisory Committee also advises the Executive Committee on locations for future conferences and selects the student travel award(s) for the conference.","The Conference Advisory Committee supports the following aspects of the AP-LS Mission: the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice; the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice; the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators; the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts. The Conference Advisory Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,"Emily Haney-Caron",""
"CE","Continuing Education Committee","The Continuing Education (CE) workshops planned by the Continuing Education Committee are the primary vehicle for the American Psychology-Law Societys vision of translation of knowledge into practice. Through CE workshops, AP-LS conference participants receive in-depth exposure to important developments and innovations in psychology-law and skills training that they can use in practice and/or can pass along to students and colleagues. The Societys core values of knowledge and application based on methods of science, outstanding service to its members and society, and continual pursuit of excellence are the driving force behind the CE workshops on psychology-law presented to our members.","The Continuing Education Committee is responsible for the provision of pre-conference continuing education workshops that are in compliance with APA or other appropriate professional standards. The committee ensures that workshops are high quality, evidence-based, and culturally diverse. The committee is also responsible for obtaining APA approval for offering CE credits.","The Continuing Education Committee supports the following aspects of the AP-LS Mission: the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice; the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice; the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators; the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers and the public to use psychology-law knowledge in the pursuit of justice for all citizens. The Continuing Education Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; social justice, diversity and inclusion; and ethical action in all that we do.",,,,,"Sara Millspaugh & Danielle Rynczak",""
"Corrections","Corrections Committee","The AP-LS Corrections Committee was founded in 2009 to increase the presence of correctional practice and research within the division. To this end, we (1) invite distinguished practitioners and researchers to deliver addresses on topical issues at the annual AP-LS conference, (2) co-sponsor an outstanding student research in corrections award with the AP-LS Student Section, (3) sponsor practitioner-oriented panels for the APA conference, and (4) offer networking opportunities for researchers and practitioners who do work relevant to corrections. If you are interested in learning more about the Corrections Committee, its initiatives or how you can contribute, please contact the Corrections Committee Chair.","The purpose of this ad hoc committee is to address corrections-related issues within the division. The goal is for this committee to be a catalyst within AP-LS for stimulating, growing and disseminating corrections-related research that informs practice, policy, and the general public. Given the many concepts relevant to corrections that are related to issues of justice/fairness (including disparity/diversity issues), the promotion and dissemination of state-of-the-art, scientifically-supported corrections knowledge is of central importance to the Corrections Committee.","The Corrections Committee supports the following aspects of the AP-LS Mission: the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity and justice. The Corrections Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; social justice, diversity and inclusion; and ethical action in all that we do.",,,,,"Tamara Kang",""
"Dissertation","Dissertation Awards","The American Psychology-Law Society confers Dissertation Awards for scientific research and scholarship that is relevant to the promotion of the interdisciplinary study of psychology and law. Dissertation award committee members (approximately 15 members who have completed their PhDs) review submitted dissertations and rate them based on four criteria: originality, quality, contribution and presentation. The committee is intentionally large so that each member will not be unduly burdened with the review process. At each annual conference, the first-, second- and third-place award winners are invited to present their research. Those interested in joining the committee should contact the committee chair.","The Dissertation Awards Committee is responsible for conferring Dissertation Awards for scientific research and scholarship relevant to the promotion of the interdisciplinary study of psychology and law. Students who complete dissertations involving basic or applied research in psychology and law, including its application to public policy, are encouraged to apply for these awards.","The Dissertation Awards Committee supports the following aspects of the AP-LS Mission: the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice; the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators; The Dissertation Awards Committee also supports the AP-LS Core Values of: continual pursuit of excellence and knowledge and application based on methods of science.",,,,,"Alicia Nijdam-Jones",""
"ECP","Early Career Professionals Committee",,"The ECP Committee is responsible for: (1) developing and maintaining programs that address needs typically encountered by ECPs; (2) working with other AP-LS committees in pursuing agendas of relevance to ECPs; and (3) acting as a liaison to the APA Committee on Early Career Psychologists. At present, a primary responsibility of the AP-LS ECP Committee is to oversee the peer-reviewed ECP Grants-in-Aid program. The ECP Committee also hosts workshops or other skills-advancing events at the annual AP-LS conference, and facilitates social and networking events at the annual AP-LS and APA conferences. The Chair or one of the Committees members typically authors a column in the AP-LS newsletter each year.","The mission of the ECP Committee is consistent with the aspect of the AP-LS Vision Statement regarding the aspiration to be the premier innovator in the education, development, and training of psychology-law scientists, practitioners, and educators in that the Committee was formed to provide support to scientists, practitioners, and educators during a crucial period of professional identity development. The ECP Committee helps further AP-LSs Core Value of Knowledge and Application Based on Methods of Science through its Grant-in-Aid program. The ECP Committee also supports the AP-LS Core Values of: outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,"Mia Ricardo",""
"Fellows","Fellows Committee","The Fellows Committee is comprised of three members, each of whom is an AP-LS fellow. The committee reviews applications from those interested in becoming fellows. Those seeking additional information about becoming fellows of APA through AP-LS (which requires APA membership) or becoming distinguished members of AP-LS (comparable requirement except no APA membership needed, nor do they become APA fellows) should contact the committee chair.","The Committee reviews all nominations for Fellows (in Division 41, APA) and Distinguished Member (in AP-LS). The Committee collects and considers such supporting materials as are necessary and recommends nominees for Fellow status in the Division or Distinguished Member in the Society.","The Committee on Fellows supports the following aspects of the AP-LS Mission: the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators. The Fellows Committee also supports the AP-LS Core Value of continual pursuit of excellence.",,,,,"Eve Brank",""
"Finance","Finance Committee","The Finance Committee is responsible for advising the Executive Committee on the recruitment and retention of an investment firm to handle AP-LS investments; monitoring the performance of the investment firm; and serving as a liaison between the investment firm and the Executive Committee. The Investment Oversight Committee does not make recommendations or decisions about individual investment purchases.","The Finance Committee is responsible for advising on both the long-term investments and the annual budget. The Finance Committee is responsible for advising the Executive Committee on the recruitment and retention of an investment firm to handle AP-LS investments; monitoring the performance of the investment firm; and serving as a liaison between the investment firm and the Executive Committee.","The Finance Committee does not directly address the points in the AP-LS Mission but rather helps ensure the Societys financial viability so that it can fulfill its mission. The Investment Oversight Committee also supports the AP-LS Core Values of outstanding service to its members and to society.",,,,,"Jen Perillo",""
"Governance","Governance Committee","The Governance Committee continually reviews governance operations with the goal of improving effectiveness and efficiency. Governance operations include (but are not limited to): recommending the creation or dissolution of committees, recommending the scope of work by individual committees, structuring Executive Committee reports and meetings, facilitating review and updating of bylaws, and coordinating the strategic planning process.",,"The Governance Committee does not directly address the points in the Mission Statement but rather helps the Society as a whole fulfill its mission through efficient and effective operations and ensuring alignment of the organization structure with the Societys mission and  vision. The Governance Committee also supports the AP-LS core value of outstanding service to its members and society. Recommendations for AP-LS Officer candidates are made by the Nominations and Awards Committee.",,,,,"Jessica Salerno",""
