year,name,institution,project_title,award_type,award_amount
2026,Becky Earhart,Vancouver Island University,Facial Recognition as a Mediator of Autistic Differences in Destination Memory,Small,5000
2026,Daniela Brissett,University of Pittsburgh School of Medicine,"Invisible Barriers: How Documentation, Language, and Structural Gaps Shape Disability Supports and Re-Entry Outcomes for Justice-Involved Youth",Large,49662
2026,Deryn Strange,John Jay College of Criminal Justice and The Graduate center,"Lights, Camera, Bias? The Effects of Editing Body Camera Footage",Large,20473
2025,Tamara Kang,Southern Illinois University,Evaluation of Strategies to Leverage Social Capital to Facilitate Desistance in Regions with Limited Infrastructural Supports,Large,39838
2025,Colleen Berryessa,Rutgers University,Modeling Sources of Pro-Prosecution Bias and Judicial Decision-making: A Qualitative Study of Judges with Prosecutorial Backgrounds,Large,20000
2025,Melina Singh,Kenyon College,When “Do No Harm” and “Child Protection” Conflict: Assessing Drug Screening and Reporting Practices Among Reproductive Care Providers,Small,4624
2024,Krystia Reed,University of Texas at El Paso,Evaluating the Impact of Victim Offender Mediation on Adolescent Family Violence Cases in El Paso,Small,5000
2024,Jacqueline Evans,Florida International University,Exploring Hypothetical Title IX Reports in University Employees: A New Approach to Boost University Employees’ Participation and Recall,Small,5000
2024,Hayley Cleary,Virginia Commonwealth University,The Perceptions of Coercion in Interrogation Scale: Developing and Validating the First Empirical Measure of Perceived Coercion in Police Interrogations,Small,4914
2024,Andrew Rasmussen,Fordham University,Psychological Assessments in Immigration Proceedings: A National Survey of Attorneys,Large,50000
2024,Julie Blais,Dalhouise University,Barriers to Successful Reintegration Among Indigenous Women in Contact with the Canadian Legal System,Large,23211.91
2023,Elizabeth Cauffman,"University of California, Irvine",Sleep on the Problem Behavior and Mental Health of At-Risk Young Adults,Large,49735
2023,Luzi Shi,University of Rhode Island,Assessing Stereotypes of Asian Women (SAW) and Responses to Anti-Asian Hate Crime,Large,15315
2023,Nadja Schreiber Campo,Florida International University,"Assessing Retention, Secondary Trauma, and Interviewing Practices of Sexual Assault Nurse Examiners",Small,4950
2022,Christopher King,Montclair State University,Serious Video Game Technology for Correctional Assessment and Treatment: Project Choices,Large,29219
2022,Tarela Ike,"Coal City University, Enugu",Legal-Education Plus Trauma-Informed Therapy (LETiT) to Improve Community Acceptance and Reintegration of Repentant Terrorists in Nigeria: A Pilot Study,Large,40538
2021,Stephane Shephard,Swinburne University of Technology,Advancing Cross-Cultural Approaches to Forensic Risk Assessment,Large,6700
2021,Joseph Gonzales,University of Massachusetts,The Impact of Inattention Dynamics and Sources of Bias in Virtual Court Hearings,Large,20000
2021,Keith Cruise,Fordham University,Integrating Socioecological and Procedural Justice Frameworks to Understand the Migration Experiences and Mental Health Needs of Unaccompanied Immigrant Children,Small,4969.5
2021,Johanna Folk,University of California San Francisco,Cultural Adaptation of a Brief Family-Based Intervention for Systems-Involved Latinx Youth in Out-of-Home Placement,Large,35055.82
2020,Sarah Desmarais,North Carolina State University,Trauma Education for Criminal Justice Actors,Small,5000
2020,Tina Zottoli,Montclair State University,Modeling Plea Decisions: Using Computational Science to Enhance the Impact of Guilty-plea Research,Large,33667
2020,Jodi Quas,UC Irvine,First Responders’ Knowledge of Disclosure Patterns and Questioning Approaches for Youth Victims of Sex Trafficking,Large,22150
2019,Dean Kilpatrick,University of Virginia,Estimating the Prevalence of Key Legal Events Among Women Who Conceive in Rape,Small,4995
2019,Logan Yelderman,Prairie View A&M University,"Groundwater Conservation Districts, the Rule of Capture, and Procedural Justice: Integrating Social Psychological and Hydrogeological Perspectives to Better Understand Legal Compliance and Water Use Behavior",Small,5000
2019,Adam Schmidt,Texas Tech University,"Exploring Epigenetic Influences of Aggression, Risk, and Resilience in Justice-Involved Youth",Large,49937
2018,Erika Fountain,"University of Maryland, Baltimore County",Mapping justice: An interdisciplinary investigation of probation compliance,Small,5000
2018,Christopher Weaver,Palo Alto University,Culturally-informed Suicide Risk Assessment and Communication Smartphone App to Enhance Police Diversion to Treatment,Large,50000
2017,Lucy Guarnera,University of Virginia,"When women conceive in rape: A mixed-methods study of legal experiences, outcomes, and preferences",Small,3775.25
2017,Robert Robinson,CSU Fullerton,Reducing Cultural Polarization Using Aporetic Reasoning,Small,5000
2017,Kimberly McClure,Western Illinois University,The Law Enforcement Human Subjects Pool: A Practical Application to Enhancing the Researcher-Practitioner Partnership,Large,42446
