key,value
submissions_note,The call for proposals opens in Fall PRIORYEAR!
cfp_note,The 20XX call for proposals opens in Fall PRIORYEAR.
cfp_deadline,
submission_portal_url,
reviewer_form_url,
hotel_note,Room block details coming soon!
hotel_booking_url,
schedule_note,The full schedule will be posted closer to the conference.
registration_note,Online registration opens in early 20XX!
registration_url,
preconference_note,Workshop topics and presenters will be announced in Fall PRIORYEAR.
rates_note,Rates based on PRIORYEAR and may be subject to change
workshop_rates_note,Rates based on PRIORYEAR and may be subject to change
